23	1
/data/text_recognition/samples/9999/9999026_]kinkiness_-5_DonegalOne-Regular.jpeg	]kinkiness
/data/text_recognition/samples/9999/9999153_BRYON_2_HindMadurai-Regular.jpeg	bryon
/data/text_recognition/samples/9999/9999854_fulcrums_4_Poly-Italic.jpeg	fulcrums
/data/text_recognition/samples/9999/9999318_punished_-4_Arimo-Bold.jpeg	punished
/data/text_recognition/samples/9999/9999778_REFINISHED,_4_Sarabun-Bold.jpeg	refinished,
/data/text_recognition/samples/9999/9999616_TELNET_1_Catamaran-SemiBold.jpeg	telnet
/data/text_recognition/samples/9999/9999887_DEAFENING_3_EricaOne-Regular.jpeg	deafening
/data/text_recognition/samples/9999/9999017_BAGGED-_3_DellaRespira-Regular.jpeg	bagged-
/data/text_recognition/samples/9999/9999073_ACHIEST_4_Raleway-ExtraLight.jpeg	achiest
/data/text_recognition/samples/9999/9999798_20P_-5_Coda-Heavy.jpeg	20p
/data/text_recognition/samples/9999/9999177_clapboarded&_1_Magra-Regular.jpeg	clapboarded&
/data/text_recognition/samples/9999/9999411_@sociable_3_PetitFormalScript-Regular.jpeg	@sociable
/data/text_recognition/samples/9999/9999228_VAST_-2_Cabin-Bold.jpeg	vast
/data/text_recognition/samples/9999/9999761_:DISSATISFIES_3_Alegreya-BoldItalic.jpeg	:dissatisfies
/data/text_recognition/samples/9999/9999075_hob_-5_Arvo-BoldItalic.jpeg	hob
/data/text_recognition/samples/9999/9999065_happen_-2_NanumGothic-Regular.jpeg	happen
/data/text_recognition/samples/9999/9999312_parapsychology_-5_AlegreyaSans-ExtraBold.jpeg	parapsychology
/data/text_recognition/samples/9999/9999448_rena_-4_Skranji-Regular.jpeg	rena
/data/text_recognition/samples/9999/9999641_BRIEF_5_NanumMyeongjo-Regular.jpeg	brief
/data/text_recognition/samples/9999/9999096_reinterpret_2_Andada-Bold.jpeg	reinterpret
/data/text_recognition/samples/9999/9999584_SUBTRACT_-5_Aladin-Regular.jpeg	subtract
/data/text_recognition/samples/9999/9999014_overspreads_-2_SupermercadoOne-Regular.jpeg	overspreads
